,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
10,HP,HP:0025427,Abnormal bronchus physiology,8.934130711901877e-12,True,Any anomaly of the function of the bronchi.,27,59,11,4856,0.1864406779661017,0.4074074074074074,query_1,['HP:0002795'],"['MUC7', 'IL13', 'CCL11', 'ERCC2', 'PTGER2', 'TNF', 'ALOX5', 'HNMT', 'ADRB2', 'HLA-G', 'TBX21']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]"
11,GO:BP,GO:0051240,positive regulation of multicellular organismal process,1.0676627361441388e-11,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1307,95,35,16307,0.3684210526315789,0.026778882938026015,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']","['CCR3', 'CCL2', 'IL4', 'IL13', 'CCL5', 'IL1B', 'VEGFA', 'IL33', 'CD14', 'IRAK3', 'CASP8', 'BCL2', 'SOD1', 'TBXA2R', 'PLAU', 'NOS2', 'TNF', 'ALOX5', 'PARP1', 'PRKCZ', 'ADRB2', 'HLA-DRB1', 'HMOX1', 'EDN1', 'PDE4D', 'MYB', 'HLA-DPB1', 'HAVCR1', 'PTGS2', 'TSLP', 'PDE4B', 'HLA-G', 'TBX21', 'ALMS1', 'LIF']","[['IMP'], ['ISS'], ['IDA', 'IGI', 'ISS', 'IBA'], ['IGI', 'ISS', 'NAS'], ['IDA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA'], ['IDA', 'ISS', 'IBA'], ['IDA', 'IMP', 'ISS', 'IBA'], ['ISS'], ['IMP'], ['IMP'], ['IDA'], ['IBA'], ['IC'], ['IDA'], ['IDA', 'IMP', 'IGI', 'ISS'], ['ISS'], ['ISS'], ['ISS'], ['ISS'], ['IDA', 'IBA'], ['IDA', 'TAS'], ['IDA', 'IGI'], ['IMP', 'IC'], ['IMP'], ['IMP', 'IBA'], ['IBA'], ['ISS'], ['IDA', 'IMP'], ['IMP'], ['IDA', 'IMP'], ['ISS'], ['ISS'], ['IDA']]"
12,GO:BP,GO:0070887,cellular response to chemical stimulus,1.6142096581212454e-11,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",1966,95,42,16307,0.4421052631578947,0.021363173957273652,query_1,"['GO:0042221', 'GO:0051716']","['CCR3', 'CCL2', 'IL4', 'MMP9', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'ARG1', 'IL33', 'GSTM1', 'CD14', 'CAT', 'IRAK3', 'BBS4', 'CASP8', 'CFTR', 'SOD1', 'PTGER2', 'IL1RN', 'TNF', 'ALOX5', 'PARP1', 'ADCY2', 'NQO1', 'GSTP1', 'PRKCZ', 'ADRB2', 'POSTN', 'HLA-DRB1', 'HMOX1', 'EDN1', 'PDE4D', 'MYLK', 'PTGS2', 'TSLP', 'PDE4B', 'ICAM1', 'LIFR', 'CALCRL', 'CXCL6', 'CCL15']","[['IBA'], ['IDA', 'IEP', 'ISS', 'IBA'], ['IBA'], ['IDA'], ['IDA', 'IEP', 'IBA', 'TAS', 'IC'], ['IDA', 'ISS', 'IBA'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IBA'], ['IMP'], ['ISS'], ['IDA'], ['IDA', 'IMP', 'IBA'], ['IDA'], ['IMP', 'ISS', 'IBA', 'IC'], ['ISS'], ['TAS'], ['IDA', 'IMP', 'IGI', 'ISS'], ['IMP', 'ISS', 'IBA', 'IC'], ['ISS', 'IBA'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IBA'], ['IMP', 'ISS'], ['IDA', 'IMP'], ['ISS'], ['IDA', 'TAS'], ['IDA', 'ISS', 'IC'], ['IMP', 'ISS'], ['IGI'], ['IDA'], ['IMP'], ['IEP', 'ISS'], ['IDA'], ['IDA'], ['IDA'], ['IEP'], ['IDA'], ['ISS'], ['IDA'], ['IDA', 'IMP', 'IBA'], ['IDA'], ['IDA', 'IBA'], ['IBA']]"
13,GO:BP,GO:0006952,defense response,2.978188304855374e-11,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1352,95,35,16307,0.3684210526315789,0.025887573964497042,query_1,['GO:0006950'],"['CCR3', 'CCL2', 'IL4', 'MMP9', 'MUC7', 'IL13', 'CCL5', 'IL1B', 'CCL11', 'IL5', 'ARG1', 'IL33', 'CD14', 'PTGIR', 'IRAK3', 'CASP8', 'BCL2', 'PTGER2', 'IL1RN', 'TBXA2R', 'GSDMB', 'NOS2', 'TNF', 'ALOX5', 'PARP1', 'GSTP1', 'HLA-DRB1', 'HMOX1', 'CXCL14', 'PTGS2', 'TSLP', 'HLA-G', 'PTGDR', 'CXCL6', 'CCL15']","[['IBA', 'TAS'], ['IDA', 'IEP', 'ISS', 'IBA'], ['IGI', 'ISS', 'IBA', 'IC'], ['TAS'], ['IDA'], ['IGI', 'TAS'], ['IDA', 'IEP', 'IBA', 'TAS'], ['IDA', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS'], ['IBA', 'TAS'], ['TAS'], ['IMP'], ['ISS', 'IBA', 'TAS'], ['ISS', 'IBA'], ['IBA'], ['ISS', 'TAS'], ['ISS'], ['IDA'], ['IBA'], ['IBA'], ['IBA'], ['IBA'], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'NAS'], ['IDA', 'IMP', 'ISS'], ['IDA', 'IMP'], ['NAS'], ['IDA'], ['IMP'], ['IBA'], ['ISS', 'NAS'], ['IDA', 'IMP'], ['IDA', 'IMP', 'TAS'], ['IBA'], ['IDA', 'IBA'], ['IBA']]"
14,HP,HP:0032933,Airway hyperresponsiveness,3.1917795172956685e-11,True,"An increased sensitivity of the airways to an inhaled constrictor agonist, a steeper slope of the dose-response curve, and a greater maximal response to the agonist.",10,59,8,4856,0.13559322033898305,0.8,query_1,['HP:0002795'],"['MUC7', 'IL13', 'CCL11', 'TNF', 'ALOX5', 'HNMT', 'ADRB2', 'HLA-G']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]"
15,GO:BP,GO:0002376,immune system process,3.781378634307803e-11,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2014,95,42,16307,0.4421052631578947,0.020854021847070508,query_1,['GO:0008150'],"['CCR3', 'CCL2', 'IL4', 'MUC7', 'IL13', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'ARG1', 'IL33', 'CD14', 'IRAK3', 'CASP8', 'BCL2', 'SOD1', 'IL1RN', 'NOS2', 'IL1RL1', 'TNF', 'ADA', 'ALOX5', 'PARP1', 'PRKCZ', 'HLA-DRB1', 'HMOX1', 'EDN1', 'PDE4D', 'MYB', 'CXCL14', 'HLA-DPB1', 'HAVCR1', 'IKZF3', 'TSLP', 'PDE4B', 'HLA-G', 'TBX21', 'MS4A2', 'ICAM1', 'LIF', 'CXCL6', 'CCL15']","[['IBA'], ['IDA', 'IEP', 'ISS', 'IBA', 'TAS'], ['IDA', 'IGI', 'ISS', 'IBA', 'TAS'], ['IDA'], ['IGI'], ['IDA', 'IEP', 'IBA', 'TAS', 'IC'], ['IDA', 'IGI', 'IBA', 'IC'], ['IDA', 'IBA'], ['IDA', 'ISS', 'IBA', 'TAS'], ['IDA', 'IMP'], ['IDA', 'ISS'], ['ISS', 'IBA'], ['ISS', 'TAS'], ['IMP', 'ISS', 'TAS'], ['IDA', 'IMP', 'TAS'], ['ISS', 'NAS'], ['IBA', 'NAS'], ['TAS', 'NAS'], ['NAS'], ['IDA', 'IMP', 'ISS', 'NAS'], ['IDA', 'IBA'], ['IMP', 'ISS'], ['IDA', 'IMP'], ['ISS'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS'], ['IMP', 'TAS'], ['TAS'], ['IMP'], ['IMP'], ['IBA'], ['IDA', 'IMP', 'IBA'], ['IBA'], ['ISS'], ['IDA', 'IMP'], ['IMP', 'ISS'], ['IDA', 'IMP', 'IBA', 'IC'], ['IDA', 'ISS', 'IBA'], ['IMP'], ['IMP', 'IEP', 'TAS'], ['IDA'], ['IDA', 'IBA'], ['IBA']]"
16,GO:BP,GO:0051239,regulation of multicellular organismal process,2.4481673782791376e-10,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2336,95,44,16307,0.4631578947368421,0.018835616438356163,query_1,"['GO:0032501', 'GO:0050789']","['CCR3', 'CCL2', 'IL4', 'MMP9', 'IL13', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'ARG1', 'IL33', 'CD14', 'ARG2', 'IRAK3', 'CASP8', 'BCL2', 'CFTR', 'SOD1', 'TBXA2R', 'PLAU', 'NOS2', 'TNF', 'ALOX5', 'PPP2CA', 'PARP1', 'GSTP1', 'PTEN', 'PRKCZ', 'ADRB2', 'HLA-DRB1', 'HMOX1', 'EDN1', 'PDE4D', 'MYB', 'HLA-DPB1', 'HAVCR1', 'IKZF3', 'PTGS2', 'TSLP', 'PDE4B', 'HLA-G', 'TBX21', 'ALMS1', 'LIF']","[['IMP'], ['ISS'], ['IDA', 'IGI', 'ISS', 'IBA', 'TAS'], ['IMP', 'ISS'], ['IGI', 'ISS', 'NAS'], ['IDA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS'], ['ISS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA'], ['IDA'], ['IDA', 'ISS', 'IBA'], ['IDA', 'IMP', 'ISS', 'IBA'], ['IMP'], ['IMP', 'ISS', 'IBA'], ['IMP', 'ISS'], ['IMP'], ['ISS'], ['IDA', 'ISS', 'NAS'], ['IGI', 'IBA'], ['IBA', 'TAS', 'IC'], ['IDA'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS'], ['ISS'], ['IMP'], ['ISS'], ['IDA'], ['IMP', 'ISS'], ['ISS'], ['ISS', 'IBA'], ['IDA', 'IMP', 'IBA'], ['IDA', 'IGI', 'TAS'], ['IDA', 'IGI', 'TAS'], ['IMP', 'ISS', 'IBA', 'IC'], ['IMP'], ['IMP', 'IBA'], ['IBA'], ['ISS'], ['ISS'], ['IDA', 'IMP'], ['IMP', 'ISS'], ['IDA', 'IMP'], ['ISS'], ['ISS'], ['IDA']]"
17,GO:BP,GO:0010033,response to organic substance,2.9104747840955097e-10,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:sm, PMID:23356676]",1736,95,38,16307,0.4,0.021889400921658985,query_1,['GO:0042221'],"['CCL2', 'MMP9', 'CCL5', 'IL1B', 'CCL11', 'ARG1', 'IL33', 'CD14', 'IRAK3', 'BBS4', 'CASP8', 'BCL2', 'CFTR', 'SOD1', 'PTGER2', 'IL1RN', 'NOS2', 'TNF', 'ADA', 'PPP2CA', 'PARP1', 'ADCY2', 'GSTP1', 'KRT19', 'PRKCZ', 'ADRB2', 'POSTN', 'HLA-DRB1', 'EDN1', 'PDE4D', 'TIMP3', 'TSLP', 'PDE4B', 'ICAM1', 'LIFR', 'CALCRL', 'CXCL6', 'CCL15']","[['IDA', 'IEP', 'ISS', 'IBA'], ['ISS'], ['IDA', 'IEP', 'IBA', 'TAS'], ['IDA', 'ISS', 'IBA'], ['IBA'], ['IMP'], ['ISS'], ['IDA', 'IMP', 'IBA'], ['IMP', 'ISS', 'IBA', 'IC'], ['ISS'], ['IMP', 'TAS'], ['IDA'], ['IDA', 'IMP', 'IGI', 'ISS'], ['IDA', 'ISS'], ['ISS', 'IBA'], ['IDA', 'IBA'], ['IBA'], ['IDA', 'IMP', 'IBA'], ['IDA'], ['NAS'], ['IDA'], ['ISS'], ['ISS', 'IC'], ['IEP'], ['IMP', 'ISS'], ['IGI'], ['IDA'], ['IMP'], ['IDA'], ['IDA'], ['IBA'], ['IDA'], ['ISS'], ['IDA'], ['IDA', 'IMP', 'IBA'], ['IDA'], ['IDA', 'IBA'], ['IBA']]"
18,GO:BP,GO:0006950,response to stress,4.355673017222452e-10,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3185,95,51,16307,0.5368421052631579,0.016012558869701727,query_1,['GO:0050896'],"['CCR3', 'CCL2', 'IL4', 'MMP9', 'MUC7', 'IL13', 'CCL5', 'IL1B', 'CCL11', 'IL5', 'VEGFA', 'ARG1', 'IL33', 'GSTM1', 'CD14', 'PTGIR', 'ARG2', 'CAT', 'IRAK3', 'CASP8', 'BCL2', 'CFTR', 'ERCC2', 'SOD1', 'PTGER2', 'IL1RN', 'TBXA2R', 'GSDMB', 'PLAU', 'NOS2', 'TNF', 'ADA', 'ALOX5', 'PARP1', 'NQO1', 'GSTP1', 'TNC', 'PTEN', 'ADRB2', 'HLA-DRB1', 'HMOX1', 'EDN1', 'RAD50', 'CXCL14', 'MYLK', 'PTGS2', 'TSLP', 'HLA-G', 'PTGDR', 'CXCL6', 'CCL15']","[['IBA', 'TAS'], ['IDA', 'IEP', 'ISS', 'IBA'], ['IGI', 'ISS', 'IBA', 'IC'], ['IDA', 'TAS'], ['IDA'], ['IGI', 'TAS'], ['IDA', 'IEP', 'IBA', 'TAS'], ['IDA', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS'], ['IBA', 'TAS'], ['TAS'], ['IDA', 'IMP', 'IBA'], ['IMP'], ['ISS', 'IBA', 'TAS'], ['IDA'], ['ISS', 'IBA'], ['IBA'], ['IDA'], ['IDA', 'IMP', 'IBA'], ['ISS', 'TAS'], ['ISS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA'], ['IDA', 'IMP', 'IGI', 'IBA', 'TAS', 'NAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'IC'], ['IBA'], ['IBA'], ['IBA'], ['IBA'], ['IBA', 'TAS', 'IC'], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'NAS'], ['IDA'], ['IDA', 'IMP', 'ISS'], ['IDA', 'IMP', 'IGI', 'IBA', 'TAS'], ['IDA', 'IEP'], ['IDA', 'ISS', 'NAS'], ['IDA', 'IEP'], ['IMP', 'ISS'], ['TAS'], ['IDA'], ['IMP', 'IEP', 'ISS', 'IBA'], ['IDA', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS', 'IC'], ['IBA'], ['IDA'], ['IEP', 'ISS', 'NAS'], ['IDA', 'IMP'], ['IDA', 'IMP', 'TAS'], ['IBA'], ['IDA', 'IBA'], ['IBA']]"
19,GO:MF,GO:0005125,cytokine activity,7.008865938156778e-10,True,"""The activity of a soluble extracellular gene product that interacts with a receptor to effect a change in the activity of the receptor to control the survival, growth, differentiation and effector function of tissues and cells."" [ISBN:0198599471, PMID:11530802]",181,97,14,17307,0.14432989690721648,0.07734806629834254,query_1,['GO:0048018'],"['CCL2', 'IL4', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'IL33', 'TNF', 'EDN1', 'CXCL14', 'TSLP', 'LIF', 'CXCL6', 'CCL15']","[['IBA', 'TAS'], ['IBA'], ['IDA', 'IBA', 'NAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'IBA'], ['IDA', 'ISS'], ['IDA', 'IBA'], ['IDA', 'IBA'], ['IDA'], ['TAS'], ['IDA', 'IMP', 'IBA'], ['IDA', 'IBA'], ['IDA', 'IBA'], ['IBA', 'TAS']]"
20,GO:BP,GO:0001817,regulation of cytokine production,1.4245535199748642e-09,True,"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]",602,95,23,16307,0.24210526315789474,0.03820598006644518,query_1,"['GO:0001816', 'GO:0010468', 'GO:0051239']","['IL4', 'IL13', 'IL1B', 'IL33', 'CD14', 'ARG2', 'IRAK3', 'CASP8', 'SOD1', 'NOS2', 'TNF', 'ALOX5', 'GSTP1', 'PRKCZ', 'HLA-DRB1', 'HMOX1', 'PDE4D', 'HLA-DPB1', 'PTGS2', 'TSLP', 'PDE4B', 'HLA-G', 'TBX21']","[['IDA', 'IGI', 'ISS', 'IBA'], ['IGI'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS'], ['IDA', 'ISS', 'IBA'], ['IDA', 'IMP', 'ISS', 'IBA'], ['IMP'], ['IMP', 'ISS', 'IBA'], ['IMP', 'ISS'], ['IDA'], ['IDA'], ['IDA', 'IMP', 'IGI', 'ISS'], ['ISS'], ['IDA'], ['ISS'], ['IDA', 'IMP'], ['TAS'], ['IMP'], ['IMP'], ['ISS'], ['IDA', 'IMP'], ['IMP'], ['IDA'], ['ISS']]"
